//StickyStudy Japanese Deck//	0	//	535-5-0-96-23	440058208_-1_-160_-1_0_-1_1-1-2-2-0-0-0-0-8-0-156-40-0-1-1-3-4-0-7-10-0-0-0-0-0-407-1
------------------------------------------------------------------
居る	[v5r,vi]	いる, おる	(1) (uk) (hum) to be (animate), to be, to exist, (v5r,aux-v) (2) (after the -te form of a verb) verb indicating continuing action or state (i.e. to be ..ing), (3) (after -masu base of verb) indicates contempt or disdain	[364971706_0_1_1_0_0_NEW]
入る	[v5r]	はいる, いる	(1) to enter, (2) to break into, (3) to join, to enroll, (4) to contain, to hold, to accommodate, (5) to have (an income of)	[364971728_0_1_1_0_0_NEW]
近い	[adj-i]	ちかい	near, close, short (distance)	[364970445_0_1_1_0_0_NEW]
返す	[v5s,vt]	かえす	(1) to return (something), to restore, to put back, (2) to turn over, to turn upside down, to overturn, (3) to pay back, to retaliate, to reciprocate, (suf,v5s) (4) (after the -masu stem of a verb) to repeat ..., to do ...	[364971551_0_1_1_0_0_NEW]
勤める	[v1,vt]	つとめる	(1) to work (for), to be employed (at), to serve (in), (2) to serve (as), to act (as), to fill (the position of), to play the role (of), (3) to conduct a religious service	[364971739_0_1_1_0_0_NEW]
取る	[v5r,vt]	とる	(1) to take, to pick up, to harvest, to earn, to choose, (2) to steal, (3) to eat, to have (a meal), (4) to remove (one's glasses, etc.)	[364970585_0_1_1_0_0_NEW]
鼻	[n]	はな	nose	[364972060_0_1_1_0_0_NEW]
お金	[n]	おかね	money	[364972217_0_1_1_0_0_NEW]
違う	[v5u,vi]	ちがう	(1) to differ (from), to vary, (2) to not be in the usual condition, (3) to not match the correct (answer, etc.), (4) to be different from promised	[364970597_0_1_1_0_0_NEW]
貸す	[v5s,vt]	かす	(1) to lend, to loan, (2) to rent out, to hire out	[364970265_0_1_1_0_0_NEW]
借りる	[v1,vt]	かりる	(1) to borrow, to have a loan, (2) to rent, to hire	[364970522_0_1_1_0_0_NEW]
なる	[v5r,vi]		to become	[364971540_0_1_1_0_0_NEW]
作る	[v5r,vt]	つくる	(1) to make, to produce, to manufacture, to build, to construct, (2) to prepare (food), to brew (alcohol), (3) to raise, to grow, to cultivate, to train	[364970259_0_1_1_0_0_NEW]
お皿	[n]	おさら	plate, dish	[364970379_0_1_1_1_0_NEW]
乗る	[v5r,vi]	のる	(1) to get on, to ride in, to board, to mount, to get up on, (v5r) (2) to spread (paints), to be taken in, (3) to share in, to join, to feel like doing, to be mentioned in, to be in harmony with	[364971516_0_1_1_0_0_NEW]
静か	[adj-na]	しずか	quiet, peaceful	[364972475_0_1_1_0_0_NEW]
持つ	[v5t]	もつ	(1) to hold, to carry, (2) to possess	[364970271_0_1_1_0_0_NEW]
両親	[n]	りょうしん	parents, both parents	[364984934_0_1_1_0_0_NEW]
はく	[v5k,vt]		to wear, to put on trousers	[364970554_0_1_1_0_0_NEW]
着く	[v5k]	つく	(1) to arrive at, to reach, (2) to sit on, to sit at (e.g. the table)	[364970299_0_1_1_0_0_NEW]
晴れる	[v1,vi]	はれる	(1) to clear up, to clear away, to be sunny, to stop raining, (2) to refresh (e.g. spirits), (3) to be cleared (e.g. of a suspicion), (4) to be dispelled, to be banished	[364970304_0_1_1_0_0_NEW]
習う	[v5u,vt]	ならう	to learn	[364970315_0_1_1_0_0_NEW]
木曜日	[n-adv,n-t]	もくようび	Thursday	[407995246_0_4_2_0_0_NEW]
駅	[n]	えき	station	[407995272_0_5_2_0_0_NEW]
道	[n]	みち	street	[440058148_3_6_2_0_0_8037]
立つ	[v5t,vi]	たつ	(1) to stand, to rise, to stand up, (2) to find oneself (e.g. in a difficult position), (3) to depart (on a plane, train, etc.)	[440058148_3_6_2_0_0_2471]
買い物	[n,adj-no]	かいもの	shopping, purchased goods	[440058148_3_6_2_0_0_8037]
机	[n]	つくえ	desk	[407995937_0_2_1_0_0_NEW]
書く	[v5k,vt]	かく	(1) to write, (2) to draw	[407995310_0_2_1_0_0_NEW]
聞く	[v5k,vt]	きく	(1) to hear, (2) to listen (e.g. to music), (3) to ask, to enquire, to query	[407995879_0_2_1_0_0_NEW]
方	[suf]	かた	person, way of doing	[407995519_0_2_1_0_0_NEW]
漢字	[n]	かんじ	Chinese characters, kanji	[440058148_3_2_1_0_0_0259]
使う	[v5u,vt]	つかう	(1) to use (a thing, method, etc.), to make use of, to put to use, (2) to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate, (3) to use (time, money, etc.), to spend, to consume, (4) to use	[407996052_0_2_1_0_0_NEW]
魚	[n]	さかな	fish	[407995332_0_2_1_0_0_NEW]
年	[n-adv,n]	とし	year	[364970351_0_2_1_0_0_NEW]
門	[n,n-suf]	もん, かど	gate	[408173806_0_2_1_0_0_NEW]
電話	[n,vs,adj-no]	でんわ	telephone	[440058148_3_2_1_0_0_1360]
交番	[n,vs]	こうばん	police box	[407995970_0_2_1_0_0_NEW]
村	[n]	むら	village	[364970360_0_2_1_0_0_NEW]
会う	[v5u,vi]	あう	(1) to meet, to encounter, (2) (uk) to have an accident, to have a bad experience	[407996093_0_2_1_0_0_NEW]
新聞	[n,adj-no]	しんぶん	newspaper	[407995291_0_3_1_0_0_NEW]
大きな	[adj-f]	おおきな	big, large, great	[365325621_0_3_1_0_0_NEW]
今週	[n-adv,n-t]	こんしゅう	this week	[440058148_3_5_1_0_0_3582]
物	[n]	もの	thing	[440058148_3_5_1_0_0_2471]
レコード	[n]		record	[440058148_3_5_1_0_0_5704]
医者	[n]	いしゃ	(sens) (medical) doctor, physician	[440058148_3_5_1_0_0_8037]
一人	[n]	ひとり	one person	[440058148_3_5_1_0_0_7926]
風	[n]	かぜ	wind	[440058148_3_5_1_0_0_9148]
頼む	[v5m]	たのむ	(1) to request, to beg, to ask, (2) to call, to order, to reserve, (3) to entrust to, (4) to rely on	[440058148_3_5_1_0_0_7926]
コート	[n]		coat, tennis court	[440058148_3_5_1_0_0_0259]
吸う	[v5u,vt]	すう	(1) to smoke, to breathe in, to inhale, (2) to suck, to sip, to slurp, (3) to absorb, to soak up, (4) to kiss	[440058148_3_5_1_0_0_7926]
ズボン	[n]		trousers	[0_0_0_0_0_0_NEW]
九つ	[num]	ここのつ	nine	[0_0_0_0_0_0_NEW]
そっち	[n]		over there	[0_0_0_0_0_0_NEW]
まっすぐ	[adj-na,adv,n]		straight ahead, direct	[0_0_0_0_0_0_NEW]
時間	[n-adv,n]	じかん	(1) time, (ctr) (2) hours	[440058148_3_2_0_0_0_3582]
ラジオ	[n]		radio	[0_0_0_0_0_0_NEW]
名前	[n]	なまえ	(1) name, full name, (2) given name, first name	[0_0_0_0_0_0_NEW]
ラジカセ, ラジオカセット	[n]		radio cassette player	[0_0_0_0_0_0_NEW]
池	[n]	いけ	pond	[0_0_0_0_0_0_NEW]
向こう	[n]	むこう	(1) opposite side, other side, opposite direction, (2) over there, that way, far away, beyond, (3) the other party, the other person, (4) future (starting now)	[0_0_0_0_0_0_NEW]
アパート	[n]		apartment	[0_0_0_0_0_0_NEW]
暗い	[adj-i]	くらい	(1) (uk) dark, gloomy, (2) dark (in colour), dull, (3) depressed, dispirited, (4) sorrowful, bitter (as in a dark past), (5) unclear, unfamiliar, unknown	[0_0_0_0_0_0_NEW]
昼御飯	[n]	ひるごはん	midday meal, lunch	[0_0_0_0_0_0_NEW]
テレビ	[n]		television	[440058148_3_2_0_0_0_6815]
ここ	[n]		here	[0_0_0_0_0_0_NEW]
とても	[adv]		very	[0_0_0_0_0_0_NEW]
水	[n]	みず	water	[440058148_3_4_0_0_0_0259]
汚い	[adj-i]	きたない	dirty, unclean, filthy	[0_0_0_0_1_0_NEW]
もう一度	[exp]	もういちど	once more, again	[0_0_0_0_0_0_NEW]
コーヒー	[n,adj-no]		coffee	[440058148_3_2_0_0_0_3582]
鉛筆	[n]	えんぴつ	pencil	[0_0_0_0_0_0_NEW]
たばこ	[n]		tobacco, cigarettes	[0_0_0_0_0_0_NEW]
一緒	[n-adv,n,adj-no]	いっしょ	(1) together, (2) at the same time, (3) same, identical	[0_0_0_0_0_0_NEW]
来月	[n-adv,n-t]	らいげつ	next month	[440058148_3_2_0_0_0_7926]
川, 河	[n]	かわ	river	[0_0_0_0_0_0_NEW]
ベッド	[n]		bed	[0_0_0_0_0_0_NEW]
ちょうど	[adj-na,adv,n]		exactly, just right	[0_0_0_0_0_0_NEW]
花瓶	[n]	かびん	a vase	[0_0_0_0_0_0_NEW]
兄	[n]	あに	older brother	[0_0_0_0_0_0_NEW]
北	[n]	きた	north	[0_0_0_0_0_0_NEW]
冷蔵庫	[n]	れいぞうこ	refrigerator	[0_0_0_0_0_0_NEW]
来年	[n-adv,n-t]	らいねん	next year	[440058148_3_2_0_0_0_6815]
デパート	[n]		department store	[0_0_0_0_0_0_NEW]
目	[n]	め	eye	[440058148_3_2_0_0_0_1360]
右	[n]	みぎ	right, right side	[0_0_0_0_0_0_NEW]
遠い	[adj-i]	とおい	far, distant	[0_0_0_0_0_0_NEW]
いいえ	[int,n]		no	[440058148_3_1_0_0_0_6815]
字引	[n]	じびき	dictionary	[0_0_0_0_0_0_NEW]
大きい	[adj-i]	おおきい	big, large, great, loud	[0_0_0_0_0_0_NEW]
春	[n-adv,n-t]	はる	spring	[0_0_0_0_0_0_NEW]
六日	[n]	むいか	six days, sixth day of the month	[0_0_0_0_0_0_NEW]
ポスト	[n,vs]		post	[440058148_3_2_0_0_0_4693]
靴	[n]	くつ	shoes	[0_0_0_0_0_0_NEW]
赤	[n]	あか	red	[440058148_3_2_0_0_0_4693]
御飯	[n]	ごはん	(1) cooked rice, (2) meal	[0_0_0_0_0_0_NEW]
一日	[n]	ついたち	first of month	[0_0_0_0_0_0_NEW]
水曜日	[n-adv,n-t]	すいようび	Wednesday	[0_0_0_0_0_0_NEW]
おもしろい	[adj]		interesting	[0_0_0_0_0_0_NEW]
かばん	[n]		bag, basket	[0_0_0_0_0_0_NEW]
かぎ	[n]		key	[440058148_3_2_0_0_0_7926]
明い	[io]	あかるい	bright	[0_0_0_0_0_0_NEW]
元気	[adj-na,n]	げんき	health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep	[0_0_0_0_0_0_NEW]
いくら	[adv,n]		how much?	[0_0_0_0_0_0_NEW]
写真	[n]	しゃしん	(1) photograph, photo, (2) movie	[0_0_0_0_1_0_NEW]
より、ほう	[adv,prt]		Used for comparison	[0_0_0_0_0_0_NEW]
じゃ, じゃあ	[conj,int]		well then…	[0_0_0_0_0_0_NEW]
狭い	[adj-i]	せまい	narrow, confined, small	[0_0_0_0_0_0_NEW]
速い	[adj-i]	はやい	(1) fast, quick, hasty, brisk, (2) early (in the day, etc.), premature, (3) (too) soon, not yet, (too) early, (4) easy, simple, quick	[0_0_0_0_0_0_NEW]
一月	[n]	いちがつ, ひとつき	one month	[0_0_0_0_0_0_NEW]
ストーブ	[n]		heater	[0_0_0_0_0_0_NEW]
だんだん	[adv,n]		gradually	[0_0_0_0_0_0_NEW]
果物	[n]	くだもの	fruit	[0_0_0_0_0_0_NEW]
バター	[n]		butter	[0_0_0_0_0_0_NEW]
砂糖	[n]	さとう	sugar	[0_0_0_0_0_0_NEW]
切手	[n]	きって	a postage stamp	[0_0_0_0_0_0_NEW]
雨	[n]	あめ	rain	[440058148_3_2_0_0_0_4693]
どうぞ	[adv]		please	[0_0_0_0_0_0_NEW]
金曜日	[n-adv,n-t]	きんようび	Friday	[0_0_0_0_0_0_NEW]
高い	[adj-i]	たかい	(1) high, tall, (2) expensive	[0_0_0_0_0_0_NEW]
海	[n]	うみ	sea	[0_0_0_0_0_0_NEW]
店	[n]	みせ	shop	[0_0_0_0_0_0_NEW]
食堂	[n]	しょくどう	(Buddh) dining hall (at a temple)	[0_0_0_0_0_0_NEW]
あれ	[n]		that	[440058148_3_1_0_0_0_7926]
動物	[n]	どうぶつ	animal	[0_0_0_0_0_0_NEW]
後	[n,adj-no]	あと	afterwards	[0_0_0_0_0_0_NEW]
今朝	[n-t]	けさ	this morning	[0_0_0_0_0_0_NEW]
男	[n]	おとこ	man	[0_0_0_0_0_0_NEW]
女の子	[n]	おんなのこ	girl	[0_0_0_0_0_0_NEW]
日曜日	[n-adv,n-t]	にちようび	Sunday	[440058148_3_2_0_0_0_2471]
いくつ	[n]		how many?, how old?	[0_0_0_0_0_0_NEW]
低い	[adj-i]	ひくい	low (height, tone, rank, degree, cost, etc.), short	[0_0_0_0_0_0_NEW]
バス	[n]		bus	[440058148_3_2_0_0_0_1360]
そちら	[n]		there	[0_0_0_0_1_0_NEW]
万	[adv,pref]	まん	ten thousand	[0_0_0_0_0_0_NEW]
辛い	[aux-adj]	つらい, からい	difficult to (do something)	[0_0_0_0_0_0_NEW]
八百屋	[n]	やおや	greengrocer	[0_0_0_0_0_0_NEW]
さあ	[conj,int]		well…	[0_0_0_0_0_0_NEW]
毎朝	[n-adv,n-t]	まいあさ	every morning	[0_0_0_0_0_0_NEW]
大学	[n]	だいがく	(1) post-secondary education institution, incl. university, college, etc., (2) the Great Learning - one of the Four Books	[0_0_0_0_0_0_NEW]
地図	[n]	ちず	map	[0_0_0_0_0_0_NEW]
電気	[n]	でんき	(1) electricity, (2) (electric) light	[0_0_0_0_0_0_NEW]
広い	[adj-i]	ひろい	spacious, vast, wide	[0_0_0_0_0_0_NEW]
軽い	[adj-i]	かるい	(1) light (i.e. not heavy), feeling light (i.e. offering little resistance, moving easily), (2) light (i.e. of foot), nimble, agile, (3) non-serious, minor, unimportant, trivial, (4) slight, small, gentle, soft, (5) easy	[0_0_0_0_0_0_NEW]
いす	[n]		chair	[0_0_0_0_0_0_NEW]
昨日	[n-adv,n-t]	きのう, さくじつ	yesterday	[440058148_3_4_0_0_0_8037]
本	[n]	ほん	book	[440058148_3_2_0_0_0_1360]
一つ	[num]	ひとつ	one	[0_0_0_0_0_0_NEW]
学校	[n]	がっこう	school	[0_0_0_0_0_0_NEW]
帽子	[n]	ぼうし	hat, cap	[0_0_0_0_0_0_NEW]
する	[vs-i]		to do	[440058148_3_2_0_0_0_1360]
